,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
118,200 DM or more,9,all credits at this bank paid back duly,repairs,936,100 to 500 DM,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,52,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
119,200 DM or more,24,no credits taken/all credits paid back duly,car (used),3062,100 to 500 DM,7 yrs or more,less than 20,male : married/widowed,none,4 to 7 yrs,real estate,32,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
120,less than 0 DM,36,no credits taken/all credits paid back duly,furniture/equipment,4795,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,less than 1 year,real estate,30,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
121,200 DM or more,36,all credits at this bank paid back duly,car (new),5842,unknown/no savings account,7 yrs or more,25 to 35,male : married/widowed,none,1 to 4 yrs,car or other,35,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,1
122,less than 0 DM,6,no credits taken/all credits paid back duly,furniture/equipment,2063,unknown/no savings account,less than 1 year,less than 20,female : single,none,4 to 7 yrs,building soc. savings agr./life insurance,30,none,for free,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
123,200 DM or more,15,all credits at this bank paid back duly,furniture/equipment,1459,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,43,none,rent,1,unskilled-resident,0 to 2,no,no,1
124,200 DM or more,15,no credits taken/all credits paid back duly,furniture/equipment,1213,100 to 500 DM,7 yrs or more,less than 20,male : married/widowed,none,4 to 7 yrs,car or other,47,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
125,200 DM or more,24,all credits at this bank paid back duly,furniture/equipment,5103,unknown/no savings account,less than 1 year,20 to 25,female : single,none,4 to 7 yrs,real estate,47,none,own,4-5,skilled employee/official,0 to 2,yes (under customer name),no,1
126,200 DM or more,15,no credits taken/all credits paid back duly,radio/television,874,1000 DM or more,less than 1 year,less than 20,female : non-single or male : single,none,less than 1 year,unknown/no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,1
127,200 DM or more,6,no credits taken/all credits paid back duly,car (used),2978,100 to 500 DM,1 to 4 yrs,35 or more,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,32,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
128,200 DM or more,18,no credits taken/all credits paid back duly,others,1820,unknown/no savings account,1 to 4 yrs,25 to 35,female : single,none,1 to 4 yrs,car or other,30,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
129,200 DM or more,24,all credits at this bank paid back duly,furniture/equipment,2872,less than 100 DM,7 yrs or more,20 to 25,male : married/widowed,none,7 yrs or more,unknown/no property,36,none,rent,1,skilled employee/official,3 or more,yes (under customer name),no,1
130,0 to 200 DM,24,no credits taken/all credits paid back duly,car (used),1925,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,unknown/no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,1
131,200 DM or more,18,no credits taken/all credits paid back duly,car (used),2515,unknown/no savings account,1 to 4 yrs,20 to 25,male : married/widowed,none,7 yrs or more,unknown/no property,43,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
132,0 to 200 DM,6,no credits taken/all credits paid back duly,car (used),2116,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,unknown/no property,41,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
133,200 DM or more,18,no credits taken/all credits paid back duly,furniture/equipment,1453,unknown/no savings account,less than 1 year,20 to 25,female : non-single or male : single,none,less than 1 year,unknown/no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,1
134,200 DM or more,10,no credits taken/all credits paid back duly,others,1364,unknown/no savings account,1 to 4 yrs,25 to 35,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,64,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
135,200 DM or more,6,no credits taken/all credits paid back duly,car (used),1543,500 to 1000 DM,1 to 4 yrs,less than 20,male : divorced/separated,none,1 to 4 yrs,unknown/no property,33,none,rent,1,skilled employee/official,0 to 2,no,no,1
136,less than 0 DM,12,no credits taken/all credits paid back duly,others,1318,500 to 1000 DM,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,54,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
137,no checking account,24,critical account/other credits elsewhere,others,2325,less than 100 DM,4 to 7 yrs,25 to 35,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,32,bank,rent,1,skilled employee/official,0 to 2,no,no,1
138,less than 0 DM,6,all credits at this bank paid back duly,vacation,932,1000 DM or more,4 to 7 yrs,35 or more,female : non-single or male : single,none,4 to 7 yrs,car or other,39,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
139,0 to 200 DM,24,all credits at this bank paid back duly,furniture/equipment,3148,1000 DM or more,1 to 4 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,31,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
140,200 DM or more,36,no credits taken/all credits paid back duly,furniture/equipment,3835,1000 DM or more,7 yrs or more,25 to 35,female : non-single or male : single,none,7 yrs or more,unknown/no property,45,none,rent,1,unskilled-resident,0 to 2,yes (under customer name),no,1
141,200 DM or more,9,no credits taken/all credits paid back duly,repairs,3832,1000 DM or more,7 yrs or more,35 or more,male : married/widowed,none,7 yrs or more,unknown/no property,64,none,rent,1,unskilled-resident,0 to 2,no,no,1
142,less than 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,5084,1000 DM or more,7 yrs or more,25 to 35,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
143,200 DM or more,9,all credits at this bank paid back duly,car (used),2406,unknown/no savings account,unemployed,25 to 35,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,31,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,no,no,1
144,200 DM or more,36,no credits taken/all credits paid back duly,furniture/equipment,2394,1000 DM or more,1 to 4 yrs,less than 20,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,25,none,rent,1,skilled employee/official,0 to 2,no,no,1
145,200 DM or more,21,no credits taken/all credits paid back duly,car (new),2476,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,46,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
146,no checking account,24,no credits taken/all credits paid back duly,car (new),2964,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,real estate,49,bank,own,1,skilled employee/official,3 or more,yes (under customer name),no,1
147,no checking account,12,no credits taken/all credits paid back duly,car (used),1262,1000 DM or more,7 yrs or more,25 to 35,male : divorced/separated,none,7 yrs or more,car or other,49,none,rent,1,unskilled-resident,0 to 2,yes (under customer name),no,1
148,200 DM or more,12,no credits taken/all credits paid back duly,retraining,1542,unknown/no savings account,4 to 7 yrs,25 to 35,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
149,less than 0 DM,24,all credits at this bank paid back duly,furniture/equipment,1743,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,car or other,48,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
150,0 to 200 DM,12,critical account/other credits elsewhere,furniture/equipment,409,500 to 1000 DM,1 to 4 yrs,20 to 25,female : non-single or male : single,none,4 to 7 yrs,unknown/no property,42,none,for free,2-3,skilled employee/official,0 to 2,no,no,1
151,200 DM or more,12,no credits taken/all credits paid back duly,furniture/equipment,2171,unknown/no savings account,less than 1 year,25 to 35,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,1
152,200 DM or more,48,all credits at this bank paid back duly,car (new),8858,1000 DM or more,4 to 7 yrs,25 to 35,male : married/widowed,none,less than 1 year,real estate,35,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
153,less than 0 DM,24,no credits taken/all credits paid back duly,others,3512,less than 100 DM,4 to 7 yrs,25 to 35,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,38,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
154,less than 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1158,100 to 500 DM,1 to 4 yrs,20 to 25,male : divorced/separated,none,less than 1 year,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
155,200 DM or more,24,all credits at this bank paid back duly,furniture/equipment,2684,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,unknown/no property,35,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
156,no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,1498,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,none,less than 1 year,building soc. savings agr./life insurance,23,bank,rent,1,skilled employee/official,0 to 2,no,no,1
157,200 DM or more,30,all credits at this bank paid back duly,furniture/equipment,5954,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,co-applicant,1 to 4 yrs,building soc. savings agr./life insurance,38,none,rent,1,skilled employee/official,0 to 2,no,no,1
158,less than 0 DM,48,critical account/other credits elsewhere,retraining,6416,unknown/no savings account,7 yrs or more,less than 20,female : non-single or male : single,none,4 to 7 yrs,real estate,59,none,for free,1,skilled employee/official,0 to 2,no,no,0
159,less than 0 DM,12,all credits at this bank paid back duly,car (used),3617,unknown/no savings account,7 yrs or more,35 or more,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,28,none,for free,4-5,skilled employee/official,0 to 2,yes (under customer name),no,1
160,200 DM or more,12,all credits at this bank paid back duly,furniture/equipment,1291,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,none,1 to 4 yrs,car or other,35,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
161,0 to 200 DM,24,all credits at this bank paid back duly,retraining,1275,500 to 1000 DM,1 to 4 yrs,25 to 35,male : divorced/separated,none,7 yrs or more,unknown/no property,36,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
162,200 DM or more,24,no credits taken/all credits paid back duly,car (used),3972,unknown/no savings account,4 to 7 yrs,25 to 35,female : non-single or male : single,none,7 yrs or more,car or other,25,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
163,200 DM or more,15,all credits at this bank paid back duly,car (used),3343,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,real estate,28,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,1
164,0 to 200 DM,15,no credits taken/all credits paid back duly,repairs,392,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,7 yrs or more,car or other,23,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
165,200 DM or more,9,all credits at this bank paid back duly,others,2134,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,48,none,rent,4-5,skilled employee/official,0 to 2,yes (under customer name),no,1
